date,year,month,day,weekday,hour,is_weekend
2023-01-11,2023,1,11,2,5,False
2023-01-11,2023,1,11,2,6,False
2023-01-11,2023,1,11,2,7,False
2023-01-11,2023,1,11,2,8,False
2023-01-11,2023,1,11,2,9,False
2023-01-11,2023,1,11,2,10,False
2023-01-11,2023,1,11,2,11,False
2023-01-11,2023,1,11,2,12,False
2023-01-11,2023,1,11,2,13,False
2023-01-11,2023,1,11,2,14,False
2023-01-11,2023,1,11,2,15,False
2023-01-11,2023,1,11,2,16,False
2023-01-11,2023,1,11,2,17,False
2023-01-11,2023,1,11,2,18,False
2023-01-11,2023,1,11,2,19,False
2023-01-11,2023,1,11,2,20,False
2023-01-11,2023,1,11,2,21,False
2023-01-11,2023,1,11,2,22,False
2023-01-11,2023,1,11,2,23,False
2023-01-12,2023,1,12,3,0,False
2023-01-12,2023,1,12,3,1,False
2023-01-12,2023,1,12,3,2,False
2023-01-12,2023,1,12,3,3,False
2023-01-12,2023,1,12,3,4,False
2023-01-12,2023,1,12,3,5,False
2023-01-12,2023,1,12,3,6,False
2023-01-12,2023,1,12,3,7,False
2023-01-12,2023,1,12,3,8,False
2023-01-12,2023,1,12,3,9,False
2023-01-12,2023,1,12,3,10,False
2023-01-12,2023,1,12,3,11,False
2023-01-12,2023,1,12,3,12,False
2023-01-12,2023,1,12,3,13,False
2023-01-12,2023,1,12,3,14,False
2023-01-12,2023,1,12,3,15,False
2023-01-12,2023,1,12,3,16,False
2023-01-12,2023,1,12,3,17,False
2023-01-12,2023,1,12,3,18,False
2023-01-12,2023,1,12,3,19,False
2023-01-12,2023,1,12,3,20,False
2023-01-12,2023,1,12,3,21,False
2023-01-12,2023,1,12,3,22,False
2023-01-12,2023,1,12,3,23,False
2023-01-13,2023,1,13,4,0,False
2023-01-13,2023,1,13,4,1,False
2023-01-13,2023,1,13,4,2,False
2023-01-13,2023,1,13,4,3,False
2023-01-13,2023,1,13,4,4,False
2023-01-13,2023,1,13,4,5,False
2023-01-13,2023,1,13,4,6,False
2023-01-13,2023,1,13,4,7,False
2023-01-13,2023,1,13,4,8,False
2023-01-13,2023,1,13,4,9,False
2023-01-13,2023,1,13,4,10,False
2023-01-13,2023,1,13,4,11,False
2023-01-13,2023,1,13,4,12,False
2023-01-13,2023,1,13,4,13,False
2023-01-13,2023,1,13,4,14,False
2023-01-13,2023,1,13,4,15,False
2023-01-13,2023,1,13,4,16,False
2023-01-13,2023,1,13,4,17,False
2023-01-13,2023,1,13,4,18,False
2023-01-13,2023,1,13,4,19,False
2023-01-13,2023,1,13,4,20,False
2023-01-13,2023,1,13,4,21,False
2023-01-13,2023,1,13,4,22,False
2023-01-13,2023,1,13,4,23,False
2023-01-14,2023,1,14,5,0,True
2023-01-14,2023,1,14,5,1,True
2023-01-14,2023,1,14,5,2,True
2023-01-14,2023,1,14,5,3,True
2023-01-14,2023,1,14,5,4,True
2023-01-14,2023,1,14,5,5,True
2023-01-14,2023,1,14,5,6,True
2023-01-14,2023,1,14,5,7,True
2023-01-14,2023,1,14,5,8,True
2023-01-14,2023,1,14,5,9,True
2023-01-14,2023,1,14,5,10,True
2023-01-14,2023,1,14,5,11,True
2023-01-14,2023,1,14,5,12,True
2023-01-14,2023,1,14,5,13,True
2023-01-14,2023,1,14,5,14,True
2023-01-14,2023,1,14,5,15,True
2023-01-14,2023,1,14,5,16,True
2023-01-14,2023,1,14,5,17,True
2023-01-14,2023,1,14,5,18,True
2023-01-14,2023,1,14,5,19,True
2023-01-14,2023,1,14,5,20,True
2023-01-14,2023,1,14,5,21,True
2023-01-14,2023,1,14,5,22,True
2023-01-14,2023,1,14,5,23,True
2023-01-15,2023,1,15,6,0,True
2023-01-15,2023,1,15,6,1,True
2023-01-15,2023,1,15,6,2,True
2023-01-15,2023,1,15,6,3,True
2023-01-15,2023,1,15,6,4,True
2023-01-15,2023,1,15,6,5,True
2023-01-15,2023,1,15,6,6,True
2023-01-15,2023,1,15,6,7,True
2023-01-15,2023,1,15,6,8,True
2023-01-15,2023,1,15,6,9,True
2023-01-15,2023,1,15,6,10,True
2023-01-15,2023,1,15,6,11,True
2023-01-15,2023,1,15,6,12,True
2023-01-15,2023,1,15,6,13,True
2023-01-15,2023,1,15,6,14,True
2023-01-15,2023,1,15,6,15,True
2023-01-15,2023,1,15,6,16,True
2023-01-15,2023,1,15,6,17,True
2023-01-15,2023,1,15,6,18,True
2023-01-15,2023,1,15,6,19,True
2023-01-15,2023,1,15,6,20,True
2023-01-15,2023,1,15,6,21,True
2023-01-15,2023,1,15,6,22,True
2023-01-15,2023,1,15,6,23,True
2023-01-16,2023,1,16,0,0,False
2023-01-16,2023,1,16,0,1,False
2023-01-16,2023,1,16,0,2,False
2023-01-16,2023,1,16,0,3,False
2023-01-16,2023,1,16,0,4,False
2023-01-16,2023,1,16,0,5,False
2023-01-16,2023,1,16,0,6,False
2023-01-16,2023,1,16,0,7,False
2023-01-16,2023,1,16,0,8,False
2023-01-16,2023,1,16,0,9,False
2023-01-16,2023,1,16,0,10,False
2023-01-16,2023,1,16,0,11,False
2023-01-16,2023,1,16,0,12,False
2023-01-16,2023,1,16,0,13,False
2023-01-16,2023,1,16,0,14,False
2023-01-16,2023,1,16,0,15,False
2023-01-16,2023,1,16,0,16,False
2023-01-16,2023,1,16,0,17,False
2023-01-16,2023,1,16,0,18,False
2023-01-16,2023,1,16,0,19,False
2023-01-16,2023,1,16,0,20,False
2023-01-16,2023,1,16,0,21,False
2023-01-16,2023,1,16,0,22,False
2023-01-16,2023,1,16,0,23,False
2023-01-17,2023,1,17,1,0,False
2023-01-17,2023,1,17,1,1,False
2023-01-17,2023,1,17,1,2,False
2023-01-17,2023,1,17,1,3,False
2023-01-17,2023,1,17,1,4,False
2023-01-17,2023,1,17,1,5,False
2023-01-17,2023,1,17,1,6,False
2023-01-17,2023,1,17,1,7,False
2023-01-17,2023,1,17,1,8,False
2023-01-17,2023,1,17,1,9,False
2023-01-17,2023,1,17,1,10,False
2023-01-17,2023,1,17,1,11,False
2023-01-17,2023,1,17,1,12,False
2023-01-17,2023,1,17,1,13,False
2023-01-17,2023,1,17,1,14,False
2023-01-17,2023,1,17,1,15,False
2023-01-17,2023,1,17,1,16,False
2023-01-17,2023,1,17,1,17,False
2023-01-17,2023,1,17,1,18,False
2023-01-17,2023,1,17,1,19,False
2023-01-17,2023,1,17,1,20,False
2023-01-17,2023,1,17,1,21,False
2023-01-17,2023,1,17,1,22,False
2023-01-17,2023,1,17,1,23,False
2023-01-18,2023,1,18,2,0,False
2023-01-18,2023,1,18,2,1,False
2023-01-18,2023,1,18,2,2,False
2023-01-18,2023,1,18,2,3,False
2023-01-18,2023,1,18,2,4,False
2023-01-18,2023,1,18,2,5,False
2023-01-18,2023,1,18,2,6,False
2023-01-18,2023,1,18,2,7,False
2023-01-18,2023,1,18,2,8,False
2023-01-18,2023,1,18,2,9,False
2023-01-18,2023,1,18,2,10,False
2023-01-18,2023,1,18,2,11,False
2023-01-18,2023,1,18,2,12,False
2023-01-18,2023,1,18,2,13,False
2023-01-18,2023,1,18,2,14,False
2023-01-18,2023,1,18,2,15,False
2023-01-18,2023,1,18,2,16,False
2023-01-18,2023,1,18,2,17,False
2023-01-18,2023,1,18,2,18,False
2023-01-18,2023,1,18,2,19,False
2023-01-18,2023,1,18,2,20,False
2023-01-18,2023,1,18,2,21,False
2023-01-18,2023,1,18,2,22,False
2023-01-18,2023,1,18,2,23,False
2023-01-19,2023,1,19,3,0,False
2023-01-19,2023,1,19,3,1,False
2023-01-19,2023,1,19,3,2,False
2023-01-19,2023,1,19,3,3,False
2023-01-19,2023,1,19,3,4,False
2023-01-19,2023,1,19,3,5,False
2023-01-19,2023,1,19,3,6,False
2023-01-19,2023,1,19,3,7,False
2023-01-19,2023,1,19,3,8,False
2023-01-19,2023,1,19,3,9,False
2023-01-19,2023,1,19,3,10,False
2023-01-19,2023,1,19,3,11,False
2023-01-19,2023,1,19,3,12,False
2023-01-19,2023,1,19,3,13,False
2023-01-19,2023,1,19,3,14,False
2023-01-19,2023,1,19,3,15,False
2023-01-19,2023,1,19,3,16,False
2023-01-19,2023,1,19,3,17,False
2023-01-19,2023,1,19,3,18,False
2023-01-19,2023,1,19,3,19,False
2023-01-19,2023,1,19,3,20,False
2023-01-19,2023,1,19,3,21,False
2023-01-19,2023,1,19,3,22,False
2023-01-19,2023,1,19,3,23,False
2023-01-20,2023,1,20,4,0,False
2023-01-20,2023,1,20,4,1,False
2023-01-20,2023,1,20,4,2,False
2023-01-20,2023,1,20,4,3,False
2023-01-20,2023,1,20,4,4,False
2023-01-20,2023,1,20,4,5,False
2023-01-20,2023,1,20,4,6,False
2023-01-20,2023,1,20,4,7,False
2023-01-20,2023,1,20,4,8,False
2023-01-20,2023,1,20,4,9,False
2023-01-20,2023,1,20,4,10,False
2023-01-20,2023,1,20,4,11,False
2023-01-20,2023,1,20,4,12,False
2023-01-20,2023,1,20,4,13,False
2023-01-20,2023,1,20,4,14,False
2023-01-20,2023,1,20,4,15,False
2023-01-20,2023,1,20,4,16,False
2023-01-20,2023,1,20,4,17,False
2023-01-20,2023,1,20,4,18,False
2023-01-20,2023,1,20,4,19,False
2023-01-20,2023,1,20,4,20,False
2023-01-20,2023,1,20,4,21,False
2023-01-20,2023,1,20,4,22,False
2023-01-20,2023,1,20,4,23,False
